gamma_result,ref,LP
2437.2212,2460.6182,529.67523
2414.5562,2457.0107,529.71313
2431.416,2445.1572,529.72894
2449.166,2449.4197,529.69977
2453.851,2463.5735,529.6002
2455.7854,2464.984,529.55884
2434.8816,2454.0225,529.5845
2415.2373,2445.6353,529.6584
2432.5918,2440.4424,529.6956
2453.374,2440.9321,529.6466
2459.3652,2455.4863,529.54596
2458.898,2465.2278,529.4852
2434.952,2457.7383,529.4859
2412.0432,2448.3376,529.5319
2426.5042,2442.3584,529.55115
2443.5784,2444.2825,529.51044
2445.9583,2464.0798,529.44836
2450.1848,2434.194,529.4491
2433.178,2423.7559,529.49396
2411.408,2450.6057,529.54083
2426.2744,2450.2341,529.53503
2443.1404,2448.2944,529.4953
2444.2102,2447.876,529.4158
2447.2375,2453.337,529.36255
2432.3484,2434.8489,529.36694
2416.8123,2430.3408,529.3851
2434.9214,2437.444,529.37384
2449.378,2431.586,529.2499
2443.1604,2431.2908,529.0713
2436.1975,2440.7812,528.91125
2415.0288,2425.346,528.7442
2399.4072,2418.846,528.5567
2418.143,2431.1245,528.35187
2434.7214,2435.765,528.14636
2434.187,2441.9482,527.9691
2427.0027,2443.1848,527.81036
2406.5146,2424.054,527.70605
2392.8962,2416.8267,527.62317
2410.5818,2419.0457,527.5573
2427.0168,2419.2832,527.47687
2430.6838,2428.0627,527.4593
2432.0266,2433.915,527.5086
2419.122,2420.427,527.6287
2406.8247,2415.713,527.82263
2408.7593,2428.7397,528.0251
2419.4539,2431.8062,528.2492
2430.0645,2438.2334,528.4495
2437.8784,2439.8152,528.5884
2417.2737,2424.0051,528.67365
2394.8467,2426.7466,528.73206
2416.964,2445.9739,528.7436
2435.7537,2445.3274,528.7348
2432.0803,2443.16,528.6603
2424.1875,2442.8174,528.5183
2403.4622,2424.5735,528.3685
2389.588,2419.597,528.2222
2403.0466,2434.9512,528.0356
2420.0522,2435.889,527.9119
2427.4338,2437.6055,527.9157
2434.882,2448.1904,528.06744
2425.8,2447.0796,528.3111
2410.2312,2435.3826,528.62494
2414.4775,2434.9834,528.81836
2428.548,2434.0337,529.06934
2438.4011,2429.7642,529.32434
2437.336,2443.0483,529.5651
2426.7712,2446.5737,529.83124
2424.8218,2433.7688,530.138
2442.7554,2443.9702,530.4459
2450.2034,2447.279,530.8206
2444.2905,2433.6511,531.1267
2450.181,2447.286,531.50977
2468.7434,2451.008,531.8474
2466.6782,2436.9026,532.02795
2458.8813,2440.3801,532.20245
2462.2124,2460.233,532.4904
2466.519,2489.2014,532.80945
2456.9534,2507.543,533.0215
2443.6526,2514.344,533.21405
2447.3633,2487.5093,533.4054
2466.3547,2481.0095,533.52026
2476.3374,2484.4666,533.5807
2495.077,2487.5266,533.6998
2512.9377,2491.7305,533.8225
2515.846,2475.1836,533.8337
2506.5037,2463.1228,533.807
2498.1545,2459.1047,533.81305
2506.304,2457.9722,533.90106
2524.886,2463.9355,533.8766
2541.4773,2465.9795,533.79553
2535.9583,2467.3616,533.73535
2519.962,2468.9194,533.905
2525.3792,2473.3267,534.32214
2526.97,2472.648,534.72284
2527.2961,2489.9014,535.1485
2525.35,2524.6428,535.6641
2516.5803,2532.3347,536.1108
2521.1218,2518.753,536.5632
2538.0046,2518.6135,536.91235
2546.0413,2523.2036,536.92096
2516.0205,2504.0745,536.99457
2505.275,2500.6692,537.25555
2522.1255,2512.0913,537.406
2523.2676,2521.9216,537.44025
2521.8481,2525.965,537.4035
2508.3057,2501.0483,537.4403
2463.4214,2455.314,537.57874
2446.0735,2434.5999,537.7942
2457.9768,2420.8254,537.9673
2497.9705,2441.4172,538.1657
2540.3481,2495.3833,538.248
2527.4722,2512.2349,538.27124
2508.1187,2496.9573,538.57184
2513.049,2503.0732,539.29877
2538.908,2529.7869,539.7999
2556.4326,2535.2842,539.8722
2575.1892,2547.0088,539.8637
2581.9526,2559.3804,539.92554
2561.6284,2544.4946,539.97174
2553.9082,2527.1943,540.05804
2564.636,2532.7798,540.06866
2570.3413,2535.654,539.99445
2571.9526,2538.8943,539.88165
2572.5999,2542.1084,539.8458
2552.5254,2525.8975,539.848
2533.871,2513.5398,539.8723
2540.4565,2520.0413,539.85254
2553.5454,2525.2053,539.77954
2560.5364,2526.739,539.6422
2560.87,2528.9038,539.53485
2545.3335,2520.5596,539.4071
2528.3748,2505.6353,539.2939
2532.3486,2501.222,539.1302
2544.2683,2501.3115,538.9683
2551.0334,2505.471,538.7513
2551.2314,2510.4895,538.5122
2543.603,2494.713,538.2875
2531.6243,2485.0212,538.11884
2531.7842,2493.135,537.9092
2535.428,2503.2717,537.6931
2538.332,2503.8098,537.4381
2544.939,2496.8657,537.1515
2529.2637,2488.6501,536.83496
2514.5317,2478.2444,536.40845
2524.3857,2469.1028,536.014
2526.1633,2467.186,535.8026
2526.5884,2468.2131,535.5033
2533.1726,2482.1682,535.1676
2524.6355,2471.812,534.89185
2509.6074,2451.4026,534.67554
2503.426,2446.663,534.45624
2502.134,2446.8577,534.2796
2505.6826,2449.663,534.0932
2511.0068,2453.5305,533.8681
2508.2446,2445.9346,533.63824
2496.4167,2447.545,533.42584
2481.8943,2447.315,533.1189
2476.4343,2446.2412,532.8737
2479.359,2457.7153,532.6481
2480.0022,2459.3772,532.3402
2468.502,2448.538,532.0233
2457.8481,2447.0315,531.7605
2460.238,2451.6797,531.5347
2462.8184,2446.9697,531.29266
2473.2246,2441.7815,531.04865
2482.595,2450.7854,530.7866
2467.4717,2447.609,530.5266
2456.7344,2433.315,530.33276
2459.7715,2430.7883,530.1645
2458.1023,2439.8867,529.9732
2462.0269,2445.808,529.77136
2472.0095,2455.1733,529.57166
2463.978,2454.5173,529.36346
2460.6267,2443.2153,529.1943
2459.3467,2444.5247,529.0454
2446.5305,2447.4587,528.9081
2450.4622,2445.6943,528.795
2461.8274,2460.9683,528.69
2459.3523,2471.805,528.5713
2453.2769,2458.1345,528.4816
2449.0903,2446.973,528.4446
2442.5054,2445.1626,528.40656
2444.4092,2454.187,528.38403
2451.2595,2468.3137,528.3407
2451.401,2461.862,528.2955
2443.8591,2448.8286,528.27673
2439.908,2441.5894,528.3387
2441.0095,2439.7983,528.42267
2444.634,2453.3218,528.4793
2451.2134,2469.066,528.517
2448.242,2468.894,528.56757
2451.0366,2455.8665,528.6524
2454.442,2443.213,528.7424
2446.5396,2442.5955,528.80133
2448.9116,2448.0984,528.85016
2466.0955,2462.855,528.86487
2462.6465,2469.8672,528.8104
2448.9656,2455.867,528.7595
2445.2634,2442.7354,528.7865
2440.4827,2441.9375,528.8021
2445.9407,2444.5776,528.7844
2451.866,2453.5796,528.76056
2450.2808,2459.413,528.75903
2449.9119,2449.925,528.7608
2446.9482,2443.2087,528.72064
2441.4736,2442.4395,528.64087
2443.1616,2446.5298,528.57513
2459.3843,2452.9604,528.4692
2466.196,2455.6277,528.3176
2453.6526,2450.2498,528.1617
2446.1797,2442.463,528.064
2445.9624,2442.1833,528.02563
2448.3174,2445.4272,527.979
2459.5337,2447.782,527.9469
2464.117,2450.797,528.0463
2455.2854,2448.3618,528.0089
2448.1047,2443.4272,527.82806
2443.1577,2459.1108,527.5694
2451.1677,2478.0305,527.2398
2467.8037,2480.973,527.0258
2468.302,2483.0452,526.8869
2453.224,2474.0107,526.8446
2444.042,2472.5713,526.9051
2442.9597,2472.394,526.94525
2443.068,2484.8738,526.912
2455.7903,2493.8635,526.8749
2462.75,2472.7827,526.81586
2449.822,2455.6904,526.7411
2438.7146,2447.1206,526.7703
2436.272,2453.2693,526.7848
2441.9402,2466.0837,526.72644
2454.9492,2471.5024,526.68097
2458.5034,2465.4153,526.6971
2448.583,2454.3743,526.7785
2439.5457,2443.2815,526.8752
2436.628,2449.7742,526.9707
2439.748,2483.0232,527.02216
2453.4504,2491.216,527.12537
2461.546,2472.437,527.27216
2450.7346,2458.3108,527.44037
2441.837,2449.6099,527.6266
2451.3203,2456.3853,527.707
2454.2395,2478.084,527.77563
2443.9092,2490.6895,527.82294
2441.6904,2485.8572,528.0004
2450.25,2475.5168,528.38745
2464.8713,2474.536,528.68713
2469.7258,2476.226,528.92975
2478.7449,2484.1108,529.3335
2491.0076,2481.1843,529.83264
2481.0925,2462.6792,530.30853
2471.148,2459.2788,530.97656
2485.305,2483.2053,531.719
2495.4294,2499.2207,531.9708
2465.2334,2482.5642,532.21295
2459.1218,2482.0342,532.7684
2485.3267,2491.9534,533.3963
2484.2336,2481.5308,533.7721
2470.6565,2471.1572,533.9672
2453.06,2462.5417,534.42584
2428.979,2434.8032,534.86383
2415.2642,2418.57,535.3009
2435.4138,2370.6743,535.7471
2488.8281,2388.712,536.32904
2519.802,2487.1287,536.6569
2516.4375,2518.7334,536.9871
2515.0056,2516.45,538.2367
2519.1292,2522.2566,539.35205
2541.2483,2537.1484,540.32544
2556.76,2547.729,540.73285
2576.9294,2562.2935,540.7592
2575.037,2562.5693,540.8234
2559.787,2556.9558,540.81665
2555.4895,2550.5798,540.8313
2549.9949,2547.238,540.7423
2553.7097,2535.474,540.57556
2571.9756,2533.0806,540.37683
2573.8992,2532.3135,540.0803
2544.4395,2515.3054,539.7706
2542.3696,2499.7917,539.546
2557.4897,2491.5627,539.22046
2549.6497,2489.475,538.78406
2550.541,2491.6318,538.4495
2541.0461,2489.8796,538.0881
2502.2805,2467.1902,537.76697
2497.6123,2463.2188,537.4937
2522.785,2466.295,537.1821
2530.7585,2463.8765,536.75824
2530.9817,2480.581,536.3251
2530.203,2484.7712,535.9972
2505.1902,2459.1096,535.6891
2489.131,2465.7568,535.4444
2489.956,2472.331,535.3139
2490.3403,2461.1392,535.17676
2495.1646,2474.2668,535.1375
2496.6257,2471.336,534.9256
2478.6382,2453.096,534.6885
2477.1482,2459.2563,534.4662
2506.3596,2455.7551,534.2352
2514.3787,2448.5837,533.93774
2501.9004,2462.2034,533.6634
2495.5195,2458.4316,533.4544
2482.5642,2438.083,533.21124
2471.187,2449.678,532.93207
2466.243,2462.1448,532.7348
2468.267,2453.9814,532.4212
2470.558,2445.3691,532.0866
2469.8235,2434.8945,531.71747
2465.0144,2422.1042,531.3454
2464.539,2424.338,531.0033
2469.61,2426.2014,530.6855
2463.9407,2420.0042,530.3887
2463.1648,2423.4553,530.11414
2457.57,2437.628,529.90796
2446.9207,2428.6667,529.73846
2451.1052,2414.8755,529.5887
2449.024,2404.43,529.4111
2447.0083,2395.3838,529.29016
2451.755,2411.5498,529.2213
2443.9788,2432.494,529.1031
2432.5933,2417.7488,528.9463
2441.7183,2403.384,528.77057
2456.0083,2398.8574,528.5559
2449.7437,2406.7195,528.32513
2443.2725,2429.5176,528.1356
2440.5984,2449.995,527.95905
2413.0066,2457.6409,527.77985
2393.3193,2436.8525,527.6124
2399.5806,2424.1038,527.41833
2412.9114,2415.5532,527.2046
2427.906,2416.8503,526.9614
2432.9404,2416.6797,526.68
2412.193,2398.6167,526.3723
2398.9307,2410.7947,526.11383
2414.6523,2426.4756,525.8896
2420.904,2417.3584,525.6642
2419.922,2419.7053,525.48315
2415.9607,2422.2212,525.4194
2398.884,2403.958,525.4395
2394.2222,2399.4912,525.4935
2398.9688,2396.0981,525.5726
2399.625,2389.986,525.63275
2406.9448,2409.7368,525.73486
2414.479,2446.987,525.8509
2393.223,2456.4878,525.99426
2381.8047,2443.2698,526.13947
2407.6453,2436.687,526.41156
2415.1316,2416.9453,526.5618
2410.3186,2418.6396,526.7132
2411.9224,2451.2126,526.95966
2396.119,2456.0813,527.1689
2383.2588,2440.0388,527.3319
2400.5178,2440.906,527.414
2411.7932,2429.1858,527.33435
2411.8855,2420.779,527.2585
2417.9717,2448.1777,527.2184
2403.5806,2455.3218,527.1672
2395.0864,2429.187,527.09186
2414.9707,2428.5696,527.04205
2423.5332,2428.5823,526.9667
2425.7356,2417.353,526.9312
2428.5813,2416.8335,526.9739
2408.545,2404.6528,527.05615
2410.3792,2398.696,527.2104
2442.476,2411.6428,527.3676
2443.5793,2419.2173,527.5096
2432.8152,2421.1655,527.8234
2434.8728,2445.534,528.79224
2435.6672,2453.4626,530.97437
2436.7278,2448.5676,533.30963
2459.9336,2460.0312,534.5368
2475.093,2463.9233,535.38666
2494.343,2463.4045,536.2442
2525.5159,2451.1028,537.5882
2537.5137,2428.8267,538.7875
2529.433,2417.183,539.32495
2537.9214,2422.5754,539.34955
2545.5164,2447.8533,539.43976
2550.4946,2469.3528,539.78143
2556.8157,2484.4795,539.9856
2534.1338,2489.4348,539.5387
2522.1814,2479.3796,538.82764
2534.9443,2485.5469,537.87354
2528.0593,2476.859,537.05457
2523.7927,2472.986,536.2404
2521.3816,2478.5054,535.38385
2508.0723,2460.4392,534.8886
2504.2993,2454.0037,536.13916
2520.6147,2456.9692,536.54285
2532.4668,2458.8079,535.3403
2534.3777,2464.93,534.7056
2529.4565,2466.0425,534.5684
2518.8728,2459.9375,534.55963
2518.5164,2458.7131,535.61316
2531.4087,2475.4363,537.238
2538.9272,2484.0442,538.7715
2544.3936,2500.6072,539.0324
2552.811,2524.278,539.4511
2547.4846,2526.031,540.55743
2543.0115,2506.2573,542.0393
2554.285,2507.1003,543.79456
2581.6072,2519.378,545.57074
2592.2385,2524.4365,547.3419
2585.6162,2525.5435,548.12506
2582.4275,2519.2866,548.8199
2591.128,2517.3564,549.52856
2601.9316,2522.2378,550.4811
2602.8855,2518.7388,550.9343
2601.3806,2512.2656,551.22424
2606.697,2505.9631,551.45764
2611.7734,2507.6008,551.36395
2603.317,2502.9048,550.98865
2594.7705,2487.638,550.5189
2581.9856,2482.079,549.83673
2541.5166,2440.7546,548.3502
2494.3928,2400.1262,545.869
1973.839,1975.0336,542.70624
945.20825,1317.6603,542.3912
400.0,978.643,543.2446
836.6401,1232.6761,544.6225
1566.6068,1743.0355,544.103
2014.1908,2073.4019,540.11426
2309.0574,2276.877,538.6646
2589.4055,2481.5469,540.11035
2813.067,2705.3044,540.3301
2919.0293,2852.728,539.6716
2955.4822,2945.1418,538.83167
2994.3625,2982.9539,538.5329
3026.7305,3018.8115,538.8867
3049.5977,3055.65,538.9245
3100.9214,3096.1992,538.6395
3120.9514,3109.7036,538.2068
3088.641,3115.9543,537.73627
3097.2935,3113.41,538.0714
3145.2063,3118.201,538.4772
3157.431,3148.2124,538.31415
3168.7976,3173.1152,537.8827
3171.1218,3168.7378,537.60706
3137.089,3166.6191,537.79553
3144.0679,3171.4084,538.336
3183.8152,3173.0945,538.6368
3184.6162,3177.0881,538.4813
3186.3884,3181.9634,538.3135
3177.8044,3174.777,538.4442
3133.0762,3169.717,538.9238
3142.641,3188.4048,539.64734
3188.2156,3200.3464,539.94525
3189.3743,3209.2336,539.75305
3191.8203,3213.6416,539.62463
3182.218,3190.794,539.7395
3136.6921,3177.9365,540.0735
3146.6912,3187.0398,540.5351
3192.0388,3192.1963,540.6659
3199.683,3195.7612,540.3896
3206.9836,3199.0947,540.15686
3210.748,3184.9512,540.07947
3180.8562,3175.7532,540.21313
3169.7903,3186.1643,540.45795
3189.025,3191.67,540.52356
3194.076,3203.2305,540.26306
3202.1736,3209.4355,539.9321
3220.1626,3194.7532,539.7893
3218.25,3187.064,539.75476
3210.588,3199.3032,539.5561
3211.5396,3203.4587,539.15564
3213.318,3204.9688,538.9236
3222.3845,3207.3323,538.91656
3240.646,3185.3796,538.7776
3237.446,3171.764,538.28973
3205.859,3177.911,537.7337
3187.996,3179.6123,537.56195
3181.933,3189.6675,537.5202
3186.7712,3197.077,537.3907
3182.4004,3186.1606,537.20667
3169.024,3181.924,537.1474
3182.5615,3199.6467,537.1806
3200.4048,3206.3276,537.1491
3206.046,3206.141,537.04895
3214.2788,3207.99,536.95795
3231.1338,3194.8816,536.8824
3224.824,3189.6475,536.7568
3203.2937,3195.9438,536.65826
3192.496,3196.915,536.6732
3179.5579,3200.0627,536.7067
3181.9355,3201.4639,536.7489
3196.2695,3190.7903,536.7276
