gamma_result,ref,LP
2476.4857696358517,2480.9265,533.0183
2490.1084137139833,2464.3687,531.5342
2467.0821877702806,2460.8145,527.9441
2437.8009078392506,2469.308,528.2093
2447.1583745181324,2471.9585,532.3858
2466.2360867795715,2472.0994,535.4395
2480.8706841191274,2467.4353,535.58984
2486.0863103485435,2466.9448,533.88794
2483.4800036278816,2458.6802,530.5325
2479.3673499666993,2466.7556,528.48047
2469.7429277696283,2469.0693,527.2125
2463.709417746708,2456.3284,525.5611
2463.76037974293,2451.1492,524.0119
2455.0939473570434,2444.5981,521.65186
2420.8380669726175,2426.6294,518.1491
2395.9703736653564,2433.4536,519.67267
2393.384282715321,2439.3306,524.964
2395.696216722485,2445.7153,531.36176
2421.7198993297593,2449.1836,537.91046
2452.929359087688,2447.3425,541.05585
2474.631967538593,2433.507,538.6888
2482.09435453105,2428.6682,533.0675
2473.0353191386303,2437.5193,527.6082
2464.7547201294656,2443.005,523.92236
2458.081465615002,2454.9368,522.7068
2453.422104606042,2457.4285,522.61194
2427.9149578623387,2452.8877,522.5315
2400.278570275391,2453.215,525.6151
2415.350460855424,2454.3652,532.22894
2444.3372564490583,2457.2017,537.3538
2465.25016983793,2458.798,539.1314
2479.3902537201784,2455.3096,537.9229
2476.277583282138,2447.2324,533.9916
2467.551453717229,2443.2837,529.95215
2459.2764236272824,2447.9644,527.5488
2446.6922621561107,2453.0798,526.7821
2439.149191605984,2456.6123,527.9882
2435.800515052588,2456.7827,530.1408
2436.4643210580816,2450.0483,531.88184
2451.217676371167,2446.31,533.08624
2455.929414601067,2453.219,533.3316
2453.602209639889,2439.2383,531.28796
2453.4231002439487,2443.9177,530.0995
2450.0732917402593,2442.4,528.74536
2425.7357381278,2436.9949,527.1376
2402.014695703523,2449.4502,530.03375
2428.333027764341,2449.055,535.791
2457.520821627684,2450.8157,538.5489
2465.404243901662,2441.3623,536.57806
2463.0385729293084,2441.8389,533.6972
2433.9678808259014,2436.1465,530.4047
2411.839065842005,2430.9634,530.03314
2431.9226419633933,2434.3674,532.7882
2452.4413931194567,2436.1836,533.30994
2450.708803621189,2428.3184,530.356
2448.0046174425406,2429.8135,527.79315
2421.371928384157,2428.235,525.36444
2393.087428282748,2427.3054,526.0803
2411.3453421248637,2436.5364,531.392
2435.0486176141003,2439.4749,534.83514
2446.013997028398,2433.0012,534.5873
2447.014632913994,2430.0059,532.62915
2436.5995603409438,2421.5498,529.50995
2433.6001620619945,2418.055,527.2338
2436.0306584118994,2423.5542,525.9953
2441.0066789036664,2426.599,524.8302
2438.2633004246163,2424.2449,522.7657
2432.55168165157,2424.814,521.1039
2408.7617104074952,2424.5835,520.111
2382.971721573761,2423.7595,521.92957
2402.338915767824,2433.4866,528.1008
2425.400091362625,2435.8108,532.19366
2435.79142072445,2431.1194,532.8934
2439.3872890639004,2433.2808,532.58606
2424.187138707983,2434.9895,532.04724
2428.0295279574607,2436.037,533.49756
2470.6047754117217,2444.567,535.5241
2479.7466570999645,2444.0725,532.27856
2455.2179375295345,2433.8667,526.6586
2444.1188286307406,2431.207,523.709
2412.0821324894814,2429.7622,521.93756
2383.8794481574955,2427.743,523.84
2402.1467392649474,2436.2783,530.2449
2424.868080845101,2442.0398,535.1273
2432.547719669406,2442.3425,537.27106
2439.685740210287,2441.7864,538.40924
2454.1011483700427,2441.0315,538.58234
2463.574285071769,2434.7083,536.21564
2476.605937582245,2432.3738,532.39935
2475.538135181797,2438.541,527.7368
2451.7287984943387,2438.169,523.1527
2437.2504535813973,2438.4084,521.5074
2406.0544986476643,2445.272,522.47363
2382.959234783687,2440.524,526.68054
2412.7372847499655,2438.8105,533.5124
2447.296997445854,2447.2825,537.7446
2484.971201570431,2442.3296,537.14355
2499.1759884509484,2442.0942,531.89856
2460.6421253089675,2445.694,525.3471
2436.3823431515875,2448.5676,523.85767
2432.8018377214476,2464.7908,527.3243
2439.790426889611,2483.888,533.5735
2456.2258477550135,2501.7727,541.16626
2466.2068641543983,2497.5261,546.23694
2500.9515399887578,2497.6768,550.11096
2531.589420452028,2485.988,548.3035
2557.1085211926575,2484.268,542.53033
2555.1644113607235,2488.0984,534.09235
2532.823314303826,2481.3552,525.0544
2508.532608367169,2477.4268,518.2584
2450.8719618659684,2467.1443,513.1683
2420.546918836033,2460.5474,514.32495
