gamma_result,ref,TiDE_pred,LP
400.0,436.1014,400.0,533.8514
527.03894,904.84973,527.03894,533.85516
1636.7411,1296.6033,1636.7411,533.8588
1931.1465,1724.6505,1931.1465,533.8624
2160.7388,2031.7224,2160.7388,533.86597
2269.5132,2179.6394,2269.5132,533.86945
2336.47,2259.3264,2336.47,533.87286
2374.6755,2304.328,2374.6755,533.8762
2381.918,2328.151,2381.918,533.87946
2381.277,2345.0537,2381.277,533.8827
2416.4507,2353.3801,2416.4507,533.8858
2421.8704,2364.7876,2421.8704,533.88885
2404.87,2374.808,2404.87,533.89185
2425.262,2376.4321,2425.262,533.8948
2402.5525,2376.8855,2402.5525,533.8976
2418.202,2378.781,2418.202,533.9004
2421.4087,2378.5881,2421.4087,533.9031
2427.5913,2385.5457,2427.5913,533.90576
2416.8142,2388.5427,2416.8142,533.9083
2431.0027,2394.758,2431.0027,533.9108
2422.4458,2396.0295,2422.4458,533.91327
2429.3787,2402.6467,2429.3787,533.91565
2424.6934,2403.5508,2424.6934,533.91797
2437.1133,2406.3135,2437.1133,533.9202
2437.2246,2409.7815,2437.2246,533.92236
2450.9885,2413.1658,2450.9885,533.9245
2455.1326,2417.323,2455.1326,533.9265
2458.9065,2424.4392,2458.9065,533.9285
2466.3904,2427.462,2466.3904,533.9304
2470.527,2436.1484,2470.527,533.93225
2483.2402,2428.472,2483.2402,533.934
2476.5933,2427.2568,2476.5933,533.9357
2439.582,2424.3447,2439.582,533.9374
2448.326,2416.6423,2448.326,533.93896
2459.8176,2423.3088,2459.8176,533.9404
2456.1516,2426.1687,2456.1516,533.9419
2455.4207,2432.034,2455.4207,533.9433
2472.8494,2433.934,2472.8494,533.9446
2475.8997,2433.878,2475.8997,533.94586
2461.6338,2434.2937,2461.6338,533.947
2463.613,2429.2527,2463.613,533.9482
2462.2917,2438.6719,2462.2917,533.9492
2480.5916,2431.586,2480.5916,533.9502
2478.8464,2429.5608,2478.8464,533.9511
2469.3645,2428.8542,2469.3645,533.952
2462.0288,2418.3218,2462.0288,533.9528
2463.7249,2429.5063,2463.7249,533.95355
2467.4834,2432.6616,2467.4834,533.9542
2474.8828,2436.885,2474.8828,533.95483
2470.823,2442.2893,2470.823,533.4546
2470.823,2442.2476,2475.0254,533.4546
2476.548,2444.7808,2483.6538,532.8332
2466.7395,2442.02,2490.1448,532.284
2470.182,2444.0645,2479.6284,531.9462
2463.3203,2447.282,2481.757,531.6497
2485.4001,2443.4712,2475.4646,531.4069
2470.9023,2447.7666,2493.202,531.1377
2463.0205,2449.3984,2477.5588,530.926
2467.7185,2445.4634,2467.436,530.7532
2460.0398,2450.6638,2475.6367,530.54504
2456.8726,2437.4905,2473.5242,530.352
2477.6365,2429.3916,2469.167,530.17755
2467.1897,2428.936,2485.3218,529.963
2431.0974,2431.435,2473.9475,529.7817
2443.5596,2442.8704,2437.5908,529.7053
2449.4504,2447.9314,2455.902,529.5841
2444.911,2451.6182,2473.192,529.396
2453.0168,2439.6816,2466.0234,529.2441
2455.2148,2440.2856,2461.536,529.11957
2455.5308,2430.5598,2461.1765,528.98505
2446.9072,2425.2212,2464.8674,528.8255
2448.1062,2431.8953,2453.9272,528.684
2438.3962,2433.1746,2458.7964,528.53076
2448.8645,2441.6252,2449.4282,528.3961
2449.9062,2441.0542,2457.4385,528.24493
2448.0903,2439.5703,2458.5078,528.0949
2451.989,2437.6592,2456.5664,527.9509
2452.7966,2432.2517,2457.5005,527.81244
2449.6,2435.485,2456.8684,527.6775
2466.321,2430.5825,2452.663,527.55383
2452.4092,2426.8354,2466.021,527.3972
2412.4775,2426.8591,2451.0247,527.27765
2430.3333,2426.3745,2411.2153,527.18304
2435.0957,2427.7341,2436.8662,527.08484
2440.492,2431.8162,2453.52,526.96466
2454.52,2430.0254,2453.1213,526.87036
2449.1262,2427.364,2451.3188,526.79535
2444.9792,2426.9404,2441.2773,526.7388
2451.4514,2426.1204,2441.2615,526.656
2447.8813,2427.3308,2452.7903,526.5411
2432.1375,2431.136,2451.7278,526.422
2445.2505,2433.6274,2433.7844,526.3392
2435.5493,2432.3218,2445.7214,526.2526
2436.35,2434.1963,2442.9585,526.17236
2439.121,2433.3525,2449.7268,526.09106
2446.2488,2433.5981,2452.3708,526.005
2439.4749,2438.6343,2459.5098,525.9036
2456.439,2435.9429,2451.8853,525.7914
2448.6587,2436.2744,2467.0718,525.66406
2443.7097,2433.9575,2462.4692,525.44635
2454.71,2430.9404,2459.2676,525.14087
2436.7573,2431.023,2469.7021,524.7732
2433.893,2432.1694,2452.3838,524.4019
2442.599,2438.2512,2448.3958,524.0455
2428.9307,2438.4463,2458.0605,523.77264
2394.184,2437.4136,2447.0156,523.58453
2400.2173,2436.1648,2412.8662,523.4358
2414.3643,2429.856,2420.5974,523.402
2421.2334,2431.6313,2442.859,523.3603
2432.9028,2439.1763,2446.5317,523.3394
2438.502,2439.602,2441.6978,523.4048
2410.8281,2441.2168,2439.027,523.51263
2408.5947,2439.3958,2414.2305,523.71844
2412.527,2434.222,2416.164,523.89105
2420.5825,2433.1284,2429.1367,524.0572
2431.0579,2440.051,2439.1663,524.2185
2437.4097,2427.6172,2438.9834,524.45166
2415.71,2435.7188,2438.584,524.71106
2434.2053,2442.0146,2419.1245,524.9678
2438.2449,2448.618,2440.1196,525.1872
2435.0867,2456.4565,2448.0852,525.328
2445.8535,2455.7466,2442.0144,525.4693
2444.5134,2450.277,2443.8525,525.6027
2421.7437,2437.813,2443.6467,525.7629
2421.9666,2445.6675,2427.8188,525.9415
2429.279,2454.8074,2430.2983,526.07697
2422.2349,2464.897,2442.6387,526.2152
2443.3875,2478.561,2436.862,526.32806
2435.0498,2470.618,2449.4348,526.3766
2446.926,2469.4822,2439.2944,526.5904
2424.695,2454.0962,2452.0828,526.7719
2439.7324,2455.9873,2434.2034,527.1748
2432.4082,2456.4294,2445.3574,527.4929
2443.7666,2458.1707,2442.4397,527.92145
2448.3503,2472.2773,2449.7554,528.32074
2471.6433,2470.352,2448.6084,528.7342
2458.3098,2485.9873,2468.1326,529.0271
2469.6929,2482.9207,2447.855,529.2707
2480.1067,2469.2766,2450.1143,529.4857
2444.0974,2470.0754,2460.8982,529.6785
2439.5962,2452.6077,2422.3125,530.0249
2458.7402,2449.6294,2417.8137,530.3806
2450.2185,2460.1946,2453.518,530.5943
2452.9216,2444.7388,2450.4915,530.8028
2430.0063,2445.6028,2441.677,531.057
2397.052,2422.6028,2412.8267,531.328
2405.1414,2424.1956,2386.4602,531.53613
2404.8872,2423.2349,2415.2104,531.7588
2475.448,2448.1445,2432.5327,531.9511
2507.8171,2485.166,2495.54,531.9898
2478.6729,2492.3984,2506.3745,532.0378
2478.066,2517.8757,2455.5664,532.27637
2494.5142,2512.2888,2450.4937,532.4651
2508.1992,2516.164,2488.836,532.52234
2501.725,2509.0183,2513.9456,532.4838
2527.4612,2510.4688,2495.1008,532.4998
2505.4065,2512.9912,2502.801,532.4946
2513.7585,2509.595,2482.3723,532.5353
2504.4001,2514.9766,2496.9858,532.5205
2488.0122,2510.714,2494.58,532.50903
2500.5994,2493.6714,2479.7979,532.5366
2514.8972,2485.154,2489.357,532.5406
2503.4412,2472.584,2503.8987,532.50916
2485.4006,2465.5137,2491.2769,532.49817
2492.7458,2479.7505,2471.2473,532.5239
2479.427,2481.901,2483.297,532.49524
2490.573,2480.7703,2477.8892,532.4692
2492.968,2480.9265,2486.7422,532.4169
2501.5237,2464.3687,2483.391,532.36847
2454.3823,2460.8145,2489.9866,532.2589
2463.1323,2469.308,2448.009,532.26044
2451.716,2471.9585,2462.341,532.2079
2445.5098,2472.0994,2464.8901,532.1406
2474.852,2467.4353,2461.0273,532.0867
2478.7078,2466.9448,2482.3794,531.99457
2447.56,2458.6802,2486.41,531.8443
2453.6282,2466.7556,2451.56,531.80054
2431.4639,2469.0693,2456.911,531.7294
2437.6995,2456.3284,2446.743,531.6778
2458.7268,2451.1492,2456.6462,531.65045
2459.911,2444.5981,2473.2332,531.5306
2446.2356,2426.6294,2468.235,531.4739
2449.4106,2433.4536,2450.3462,531.4462
2435.672,2439.3306,2452.668,531.4139
2448.504,2445.7153,2445.8152,531.40094
2464.5415,2449.1836,2459.694,531.3904
2474.4465,2447.3425,2469.7532,531.37463
2441.4717,2433.507,2474.6028,531.3096
2437.3525,2428.6682,2437.3054,531.3395
2458.4841,2437.5193,2435.4404,531.3467
2461.5469,2443.005,2469.8657,531.27606
2470.2114,2454.9368,2475.4524,531.20984
2465.818,2457.4285,2466.4858,531.177
2430.594,2452.8877,2453.4539,531.176
2437.9568,2453.215,2426.1873,531.21094
2450.218,2454.3652,2445.0159,531.1784
2460.0845,2457.2017,2467.8018,531.11053
2464.2554,2458.798,2474.2244,531.0246
2461.146,2455.3096,2458.904,531.0002
2423.6904,2447.2324,2449.9324,530.99603
2432.8372,2443.2837,2424.4932,531.02515
2448.0374,2447.9644,2447.5417,530.97864
2456.2478,2453.0798,2471.7952,530.8659
2464.3486,2456.6123,2472.3137,530.7704
2460.384,2456.7827,2461.371,530.7151
2422.6626,2450.0483,2452.5503,530.67163
2424.4927,2446.31,2426.7542,530.6747
2443.3743,2453.219,2440.733,530.6329
2448.2725,2439.2383,2467.124,530.5288
2456.929,2443.9177,2465.7107,530.45795
2455.4976,2442.4,2455.1196,530.41406
2420.714,2436.9949,2447.72,530.38055
2422.1624,2449.4502,2424.429,530.37177
2435.095,2449.055,2435.7744,530.32794
2456.3484,2450.8157,2454.2026,530.2365
2459.616,2441.3623,2469.36,530.0975
2455.227,2441.8389,2454.987,530.03815
2416.1116,2436.1465,2442.017,530.01404
2418.5251,2430.9634,2413.9844,529.9905
2434.3381,2434.3674,2430.8015,529.90753
2452.155,2436.1836,2453.056,529.76324
2444.6975,2428.3184,2463.0503,529.6078
2448.9612,2429.8135,2437.2346,529.4874
2401.6948,2428.235,2434.766,529.35315
2400.6736,2427.3054,2401.487,529.22156
2438.1672,2436.5364,2413.9434,529.0834
2436.1223,2439.4749,2457.0566,528.8926
2436.499,2433.0012,2447.0237,528.76337
2428.9038,2430.0059,2424.7656,528.70337
2397.424,2421.5498,2413.2153,528.64996
2402.2107,2418.055,2399.974,528.61365
2430.7976,2423.5542,2418.704,528.5754
2431.7568,2426.599,2448.4673,528.4783
2433.2363,2424.2449,2437.6902,528.45703
2447.1453,2424.814,2419.88,528.5303
2400.9727,2424.5835,2436.164,528.5737
2402.1921,2423.7595,2400.1897,528.7209
2440.0083,2433.4866,2408.5986,528.8476
2434.1477,2435.8108,2450.1692,528.8447
2432.9563,2431.1194,2438.1729,528.91455
2448.537,2433.2808,2417.4182,529.01776
2443.36,2434.9895,2433.4333,529.05963
2438.0762,2436.037,2444.323,529.05994
2439.5146,2444.567,2439.9944,529.0576
2442.7627,2444.0725,2431.1482,529.0641
2433.5466,2433.8667,2433.5728,529.0533
2419.45,2431.207,2426.6704,529.0174
2388.171,2429.7622,2416.095,528.91797
2394.1365,2427.743,2396.8457,528.8582
2405.1467,2436.2783,2414.758,528.79767
2421.0774,2442.0398,2427.3389,528.84033
2425.8777,2442.3425,2438.0989,528.9251
2441.761,2441.7864,2434.2998,529.0768
2403.5315,2441.0315,2446.3035,529.228
2416.432,2434.7083,2415.6138,529.3825
2432.612,2432.3738,2432.7046,529.55206
2442.465,2438.541,2450.3843,529.70374
2443.2393,2438.169,2455.2107,529.8438
2438.3923,2438.4084,2444.1558,530.0421
2399.6685,2445.272,2436.5664,530.27325
2432.1912,2440.524,2408.9211,530.5685
2475.2576,2438.8105,2448.04,530.86145
2460.693,2447.2825,2487.3354,531.02814
2455.2908,2442.3296,2458.5203,531.2707
2432.8203,2442.0942,2432.8713,531.58954
2441.9302,2445.694,2416.7537,531.9129
2443.3433,2448.5676,2450.0835,532.10236
2450.22,2464.7908,2458.8845,532.2913
2452.003,2483.888,2450.131,532.55554
2437.8452,2501.7727,2440.2324,532.86566
2430.543,2497.5261,2427.3894,533.16235
2445.9075,2497.6768,2428.7651,533.4261
2449.7122,2485.988,2456.3489,533.55585
2474.7236,2484.268,2459.163,533.67194
2466.5261,2488.0984,2465.366,533.7949
2522.4238,2481.3552,2449.7163,534.02716
2501.9087,2477.4268,2502.117,534.05646
2527.5935,2467.1443,2483.5024,534.1412
2485.3796,2460.5474,2503.962,534.13043
2520.2861,2461.5203,2460.8,534.3532
2486.8538,2461.9758,2492.8892,534.3852
2521.146,2465.6487,2472.357,534.5997
2519.229,2467.4495,2508.01,534.61926
2537.1697,2470.344,2506.1619,534.71454
2500.0217,2470.7837,2519.3572,534.8209
2547.7593,2481.614,2481.0437,535.20685
2505.582,2498.6453,2522.6082,535.3992
2545.6616,2511.1182,2494.5427,535.8176
2500.1763,2521.698,2527.3213,535.9618
2530.6653,2525.474,2484.5203,536.3326
2500.3762,2520.9783,2510.1892,536.51013
2545.178,2511.344,2480.8853,536.6302
2536.673,2511.9363,2521.991,536.66736
2501.239,2508.083,2510.5728,536.7671
2490.3345,2511.2954,2466.47,536.9563
2525.5254,2519.028,2456.9177,537.1123
2502.2302,2511.485,2513.6238,537.10297
2533.7683,2490.6396,2497.7979,537.1458
2477.6477,2467.8242,2512.6777,537.1807
2448.0505,2438.0698,2452.3572,537.3678
2445.4612,2438.0085,2432.2163,537.5062
2471.607,2458.1045,2456.9768,537.6459
2538.7158,2476.8262,2503.027,537.72943
2557.285,2496.1704,2558.817,537.6633
2507.5642,2507.654,2547.4612,537.69446
2523.8306,2513.372,2474.7139,537.9033
2513.817,2519.1787,2501.5576,538.07623
2577.3286,2538.3977,2522.9492,538.1626
2534.9697,2547.3323,2589.409,538.01746
2594.69,2545.7517,2530.5117,538.116
2551.6814,2543.2874,2563.168,538.0574
2555.3948,2538.6372,2524.5195,538.16144
2520.0818,2531.4243,2539.594,538.1273
2570.8728,2535.8372,2513.8115,538.1537
2551.5847,2538.8813,2568.6863,538.0221
2589.818,2532.3958,2545.0332,537.9872
2554.4822,2527.824,2564.969,537.8768
2538.11,2522.9695,2525.9788,537.86096
2511.7532,2519.3726,2517.676,537.81757
2559.0603,2523.3901,2504.268,537.7796
2538.4275,2527.0544,2560.2883,537.6138
2569.5007,2523.6492,2534.439,537.51184
2539.114,2517.2695,2544.508,537.3852
2523.5298,2510.8906,2512.4246,537.299
2505.9028,2503.4734,2509.868,537.19354
2549.8345,2503.3464,2504.9873,537.0916
2512.514,2505.9004,2553.9863,536.8716
2557.6382,2500.0918,2509.739,536.7573
2531.3247,2497.7554,2538.5076,536.57544
2508.2336,2493.9238,2515.6602,536.4408
2486.164,2494.1465,2504.285,536.2977
2533.5337,2498.4724,2489.967,536.1648
2498.5818,2500.0688,2543.823,535.91925
2548.719,2496.23,2506.2358,535.7628
2522.7712,2487.5552,2540.1536,535.5512
2503.0198,2478.8765,2514.297,535.3731
2476.2092,2472.7153,2501.7498,535.1953
2479.8455,2468.658,2479.614,535.0532
2464.1301,2474.6772,2491.4688,534.89105
2513.2083,2470.0127,2479.401,534.74963
2500.272,2466.7854,2523.8452,534.549
2520.2236,2459.2375,2505.013,534.38525
2480.6272,2449.1301,2518.933,534.2035
2514.854,2448.163,2474.6165,534.1081
2478.766,2450.194,2510.7634,533.9485
2519.0833,2447.7988,2480.9639,533.8291
2487.792,2450.5376,2518.6423,533.6505
2505.2573,2446.6248,2485.7246,533.5253
2470.0525,2446.893,2505.8958,533.35364
2469.746,2452.5151,2473.0818,533.2361
2448.6018,2452.8093,2474.586,533.1009
2488.7207,2453.1267,2462.647,532.93695
2482.086,2453.2043,2502.598,532.73895
2463.6265,2450.109,2495.0928,532.53564
2446.996,2447.0007,2470.5393,532.397
2479.763,2446.7307,2453.6218,532.27936
2450.748,2448.8777,2497.2478,532.06775
2485.7397,2444.6953,2473.634,531.92737
2455.0806,2442.05,2496.479,531.73706
2471.6025,2439.1985,2460.3445,531.6361
2433.1243,2436.6008,2481.5203,531.4798
2467.1953,2438.2983,2450.2322,531.38464
2444.2905,2447.53,2486.2446,531.1958
2483.212,2450.1628,2464.0076,531.08466
2473.4258,2449.1943,2492.0054,530.9113
2450.3318,2449.521,2474.3843,530.7981
2458.341,2445.3372,2450.4895,530.73114
2458.566,2445.1096,2463.228,530.63446
2456.124,2454.2134,2472.227,530.51587
2486.7244,2458.7495,2467.6057,530.42896
2449.7898,2459.5513,2486.9512,530.3052
2475.244,2459.389,2443.472,530.27545
2438.2024,2451.6484,2472.3684,530.19556
2464.6003,2450.5798,2444.9746,530.17096
2442.6711,2456.738,2473.7546,530.0865
2485.3918,2458.0244,2450.5764,530.0771
2463.342,2458.5713,2486.9346,529.9769
2435.701,2451.7256,2460.098,529.97845
2466.288,2444.3135,2430.7903,530.0404
2476.5962,2447.4556,2467.3057,529.98816
2441.1807,2454.4321,2490.3293,529.8629
2490.909,2461.108,2443.9265,529.9048
2451.553,2462.466,2479.0498,529.85565
2472.725,2456.0535,2446.3691,529.9007
2430.9924,2449.231,2471.8582,529.86237
2459.4485,2445.6555,2433.8271,529.9017
2440.7068,2452.725,2464.1394,529.84576
2472.7227,2458.9827,2447.673,529.8277
2449.4297,2459.3608,2472.165,529.73944
2460.211,2456.3013,2444.2336,529.7428
2443.7678,2448.902,2456.3684,529.6786
2458.3965,2443.6565,2442.935,529.65393
2432.7231,2447.7585,2460.2087,529.57465
2464.391,2451.9954,2433.5596,529.56757
2462.559,2451.7522,2460.666,529.50305
2460.0432,2451.3108,2460.377,529.4586
2436.1775,2446.1821,2457.9595,529.4055
2459.8953,2444.8691,2429.9038,529.3781
2438.4197,2447.7,2458.719,529.2931
2463.894,2451.0786,2445.8008,529.23883
2464.138,2451.605,2466.946,529.1458
2477.6433,2449.0454,2464.975,529.08136
2442.5212,2446.2166,2478.967,528.9933
2461.8154,2443.945,2443.2373,528.9919
2435.867,2444.9827,2466.4167,529.0452
2467.154,2448.1123,2452.7573,529.0611
2463.4087,2448.072,2484.61,529.093
2477.4104,2447.112,2479.2778,529.03564
2443.6067,2453.7363,2489.4697,528.833
2466.7776,2460.7288,2451.5757,528.57837
2439.1404,2470.0417,2476.6072,528.2362
2466.311,2480.5378,2458.532,527.9239
2461.6096,2477.4917,2483.026,527.69147
2477.896,2477.808,2473.0894,527.5598
2438.9607,2473.2024,2483.6257,527.41064
2461.0027,2478.7227,2442.0452,527.37646
2434.1382,2483.129,2463.8987,527.3068
2460.1501,2478.8281,2447.3445,527.3199
2458.263,2474.777,2469.8032,527.2726
2470.1528,2459.9517,2461.954,527.2674
2435.1855,2454.4797,2469.3025,527.24255
2452.3691,2456.602,2431.837,527.32874
2429.1282,2462.3857,2453.9216,527.3368
2459.9521,2465.7495,2442.388,527.3959
2455.3518,2462.9382,2471.7126,527.4467
2467.8464,2454.3484,2459.606,527.57336
2433.293,2452.0742,2466.7341,527.70667
2453.9065,2463.1523,2433.9763,527.9014
2450.5542,2470.495,2458.454,527.99603
2476.6135,2477.73,2464.8801,528.06976
2454.8452,2474.7634,2485.6775,528.1391
2446.6082,2461.0234,2452.4692,528.3132
2425.8252,2457.3481,2441.9192,528.4414
2463.784,2463.847,2435.296,528.60455
2458.816,2473.5374,2484.3381,528.733
2493.3865,2481.9707,2478.8572,528.78864
2464.426,2483.1033,2493.8862,528.8111
2484.2385,2480.1965,2452.3726,528.98846
2467.7932,2475.8716,2473.611,529.10925
2483.8252,2479.3235,2471.0994,529.25574
2463.586,2478.7053,2489.1099,529.35736
2501.5205,2473.395,2463.7642,529.66974
2472.937,2470.2317,2493.2568,529.79517
2471.244,2472.9424,2462.0378,530.0917
2443.139,2479.2498,2457.7593,530.33453
2494.7427,2482.8848,2437.2598,530.6742
2473.6172,2490.6274,2494.9365,530.76404
2444.4783,2487.2588,2471.0354,531.0322
2469.511,2481.7825,2421.3503,531.4977
2488.6785,2481.5554,2448.3938,531.89703
2450.5986,2472.0361,2487.5051,532.0144
2459.9968,2452.9802,2450.512,532.3927
2427.6558,2440.556,2448.1377,532.7777
2416.2007,2402.7388,2419.4438,533.1445
2392.2952,2403.6409,2421.27,533.4871
2429.886,2428.9016,2407.8684,533.8552
2490.1147,2453.7227,2460.335,534.20953
2520.8618,2501.7893,2515.6775,534.3361
2495.1775,2520.495,2522.3374,534.4649
2512.8655,2526.7993,2470.9868,534.9553
2504.1335,2534.993,2485.9575,535.31647
2558.8887,2549.721,2497.7083,535.4824
2507.5889,2555.1492,2558.6973,535.4925
2584.5647,2559.6245,2499.9202,535.62976
2518.7107,2556.5745,2553.1094,535.64246
2530.7744,2552.097,2492.5486,535.74066
2519.4414,2543.0269,2507.7222,535.7817
2559.243,2540.1592,2508.3882,535.789
2529.8953,2533.8938,2553.4631,535.6638
2581.195,2524.1929,2515.932,535.6255
2499.9038,2516.0525,2550.1167,535.3888
2496.3518,2503.434,2474.1438,535.3347
2484.783,2494.6333,2482.442,535.2156
2509.1597,2491.5972,2493.203,535.064
2482.7327,2489.6775,2523.6409,534.91656
2529.5515,2479.4111,2488.869,534.7908
2499.1755,2476.5493,2516.9526,534.58167
2491.464,2466.7427,2491.9102,534.44147
2474.176,2463.5476,2492.0195,534.28314
2498.508,2473.438,2481.9604,534.1564
2471.681,2474.3237,2511.9255,533.9377
2520.4165,2469.8455,2485.7927,533.8054
2478.4626,2475.2642,2521.6443,533.58093
2467.939,2465.7202,2485.3306,533.46735
2462.7078,2463.448,2478.888,533.3735
2482.736,2473.2988,2480.208,533.27655
2463.4841,2466.2375,2506.4248,533.08887
2499.614,2463.6814,2482.3318,532.9757
2478.8333,2465.2961,2503.2537,532.7781
2468.1707,2454.4255,2479.8425,532.69745
2477.3445,2453.92,2480.0315,532.53577
2513.7698,2458.9792,2489.049,532.3418
2466.9155,2453.5076,2519.0688,532.1744
2492.171,2450.143,2470.9778,532.0426
2469.0232,2454.0547,2482.4512,531.86536
2467.309,2450.1138,2472.5457,531.6885
2458.1433,2451.8296,2485.144,531.4576
2470.4346,2453.757,2474.9465,531.24445
2452.0737,2444.438,2481.932,531.011
2476.4385,2433.7366,2460.8416,530.8257
2432.852,2429.6162,2481.4077,530.5936
2449.7424,2424.1528,2444.888,530.4298
2438.9153,2422.1711,2467.8552,530.2518
2439.2407,2424.8284,2460.2368,530.1026
2440.144,2428.816,2457.7224,529.97003
2457.7012,2426.061,2455.7844,529.8524
2432.967,2426.2517,2470.665,529.7206
2421.0774,2416.5483,2448.0396,529.6368
2420.22,2405.1296,2440.722,529.57025
2425.892,2407.9897,2443.252,529.5162
2418.2898,2413.939,2452.831,529.43835
2453.5984,2414.6492,2443.0862,529.38293
2428.6382,2417.939,2469.516,529.2481
2405.8906,2408.303,2442.8718,529.1666
2396.8809,2405.0518,2418.6448,529.1486
2396.5186,2414.1875,2414.3896,529.10724
2399.726,2428.3574,2425.6528,529.0542
2446.8582,2443.5793,2431.066,528.9904
2424.134,2443.4238,2466.7646,528.8297
2412.582,2440.8723,2433.0913,528.75964
2429.6902,2426.203,2413.8533,528.67596
2431.2063,2420.477,2434.7366,528.5541
2426.613,2416.1165,2445.4873,528.41797
2447.713,2407.7334,2435.13,528.2534
2432.294,2413.7373,2444.0469,528.0854
2404.9158,2412.5461,2428.1719,527.93823
2396.067,2414.0767,2404.829,527.8095
2412.0645,2423.0903,2401.7573,527.7076
2413.5164,2419.7898,2429.1523,527.5995
2444.6543,2411.8315,2430.3008,527.53284
2424.2717,2410.8562,2445.4578,527.4782
2397.7031,2400.028,2415.6294,527.50037
2386.9475,2394.7388,2390.3315,527.5471
2409.315,2402.9175,2389.9043,527.58435
2415.273,2418.4866,2428.5403,527.5934
2444.8276,2433.1123,2432.7007,527.63635
2423.5344,2445.1284,2441.5486,527.6963
2401.1733,2446.5874,2407.4324,527.8492
2400.9722,2430.1077,2388.2166,527.99414
2409.0579,2427.6633,2403.4033,528.12604
2400.0393,2434.079,2424.1226,528.1753
2428.91,2437.3604,2407.881,528.2616
2414.754,2445.6257,2422.3384,528.325
2393.9055,2448.4937,2404.5706,528.3814
2399.5698,2434.6123,2386.6384,528.3899
2431.5376,2430.8425,2400.0505,528.35034
2411.7942,2438.682,2442.6611,528.2669
2439.2764,2438.0503,2410.791,528.2223
2409.7466,2438.6824,2420.863,528.17377
2413.5342,2441.9456,2389.4617,528.1868
