gamma_result,ref,LP
2483.9709758083536,2480.9265,527.0836
2484.328897206554,2464.3687,526.5344
2473.3434861056776,2460.8145,525.9256
2452.6269111862357,2469.308,525.8695
2448.419928422408,2471.9585,526.4092
2456.2595105514906,2472.0994,527.0048
2466.4159435667707,2467.4353,527.2408
2471.7030445142436,2466.9448,527.2158
2451.9097328935686,2458.6802,526.84344
2431.346640529797,2466.7556,527.285
2439.730060784914,2469.0693,528.2857
2455.287952981911,2456.3284,528.635
2462.6009555152073,2451.1492,528.4668
2467.971435938921,2444.5981,527.9707
2447.1799218433935,2426.6294,526.863
2420.7658041298323,2433.4536,526.5887
2427.09829071294,2439.3306,527.1355
2431.499244596979,2445.7153,527.5935
2432.841664038782,2449.1836,528.026
2444.8108933449353,2447.3425,528.3731
2434.786475489599,2433.507,528.011
2418.520852661798,2428.6682,527.8656
2428.4526015934616,2437.5193,528.4049
2442.554015593778,2443.005,528.7503
2447.655244611273,2454.9368,529.04834
2456.794375887891,2457.4285,529.2802
2441.5277027185043,2452.8877,529.1388
2417.211224593642,2453.215,529.4701
2429.380478118471,2454.3652,530.46716
2446.6310533685737,2457.2017,531.1339
2453.7696109907147,2458.798,531.3919
2458.603717701195,2455.3096,531.39844
2440.9359961146406,2447.2324,531.0754
2423.3273447102015,2443.2837,531.17035
2436.0557399476393,2447.9644,531.8476
2452.9383676555003,2453.0798,532.2509
2465.8822547686473,2456.6123,532.30444
2473.5606872185244,2456.7827,532.0399
2471.9045215661768,2450.0483,531.4096
2467.6972133821096,2446.31,530.7611
2460.7916160432533,2453.219,530.4271
2457.5485515859627,2439.2383,529.8643
2461.038782012446,2443.9177,529.5413
2459.639639345598,2442.4,529.056
2430.3776211464283,2436.9949,528.4726
2405.4790708081864,2449.4502,529.0616
2422.16043919148,2449.055,530.2162
2440.887539845755,2450.8157,530.88776
2444.5934729130945,2441.3623,530.8175
2445.891384405275,2441.8389,530.7367
2425.803498719212,2436.1465,530.47015
2407.7278592486587,2430.9634,530.6381
2428.525072364359,2434.3674,531.36255
2449.0327450355844,2436.1836,531.4987
2447.1919624862835,2428.3184,530.8984
2446.687159969602,2429.8135,530.47015
2426.153599844673,2428.235,530.002
2403.5604975624874,2427.3054,530.0823
2424.1627076068835,2436.5364,530.9937
2446.899871341261,2439.4749,531.3247
2443.44417315108,2433.0012,530.8924
2441.627007505147,2430.0059,530.5547
2424.0292760765124,2421.5498,530.03033
2403.643576292859,2418.055,529.91675
2422.845443264907,2423.5542,530.4842
2441.7310496058963,2426.599,530.5294
2438.778906313225,2424.2449,530.0287
2439.350558197763,2424.814,529.68524
2419.808764459418,2424.5835,529.309
2397.5108468992617,2423.7595,529.4559
