time_index,melt_pool_temperature,scanning_speed,X,Y,Z,Dist_to_nearest_X,Dist_to_nearest_Y,Dist_to_nearest_Z,Laser_power,laser_power_number
0.0,415.9041983371229,6.99999999942067,0.0,0.0,0.0,20.0,20.0,0,533.8475674206721,1
0.035740034586603034,415.9041983371229,6.99999999942067,-17.0,19.25,0.75,3.0,0.75,0,533.8513920538041,1
0.07148006917320607,911.1226563934512,6.999999999420768,-17.0,19.25,0.75,3.0,0.75,0,533.8551462926544,1
0.1072201037598091,911.1226563934512,6.999999999420671,-16.999445286054204,19.25,0.75,3.000554713945796,0.75,0,533.8588302690453,1
0.14296013834641214,1866.4202407900514,6.999999999420671,-16.749265043968688,19.25,0.75,3.2507349560313124,0.75,0,533.8624441157881,1
0.1787001729330151,1866.4202407900514,6.999999999420666,-16.49908480188317,19.25,0.75,3.5009151981168287,0.75,0,533.865987966681,1
0.21444020751961806,2066.2789327708138,6.999999999420677,-16.248904559797655,19.25,0.75,3.751095440202345,0.75,0,533.8694619564669,1
0.25018024210622103,2066.2789327708138,6.999999999420716,-15.998724317712139,19.25,0.75,4.0012756822878615,0.75,0,533.8728662208956,1
0.285920276692824,2160.69180372839,6.999999999420666,-15.748544075626622,19.25,0.75,4.251455924373378,0.75,0,533.8762008966828,1
0.32166031127942696,2160.69180372839,6.9999999994207265,-15.498363833541106,19.25,0.75,4.501636166458894,0.75,0,533.8794661215073,1
0.3574003458660299,2161.8342553444418,6.999999999420666,-15.24818359145559,19.25,0.75,4.751816408544411,0.75,0,533.8826620340368,1
0.3931403804526329,2161.8342553444418,6.999999999420716,-14.998003349370073,19.25,0.75,5.001996650629927,0.75,0,533.8857887738711,1
0.42888041503923585,2204.173166668041,6.999999999420677,-14.747823107284555,19.25,0.75,5.252176892715445,0.75,0,533.8888464816092,1
0.4646204496258388,2204.173166668041,6.999999999420677,-14.497642865199039,19.25,0.75,5.5023571348009614,0.75,0,533.8918352988023,1
0.5003604842124418,2203.6283421065878,6.999999999420705,-14.247462623113522,19.25,0.75,5.752537376886478,0.75,0,533.8947553679781,1
0.5361005187990451,2203.6283421065878,6.999999999420677,-13.997282381028004,19.25,0.75,6.002717618971996,0.75,0,533.8976068325835,1
0.5718405533856483,2211.908915089422,6.999999999420677,-13.747102138942488,19.25,0.75,6.252897861057512,0.75,0,533.9003898370647,1
0.6075805879722516,2211.908915089422,6.999999999420705,-13.496921896856971,19.25,0.75,6.503078103143029,0.75,0,533.9031045268107,1
0.6433206225588548,2216.4677578674864,6.9999999994207265,-13.246741654771455,19.25,0.75,6.753258345228545,0.75,0,533.9057510481639,1
0.679060657145458,2216.4677578674864,6.999999999420677,-12.996561412685939,19.25,0.75,7.003438587314061,0.75,0,533.9083295484317,1
0.7148006917320613,2224.528132230651,6.999999999420655,-12.746381170600422,19.25,0.75,7.253618829399578,0.75,0,533.9108401758382,1
0.7505407263186645,2224.528132230651,6.999999999420677,-12.496200928514906,19.25,0.75,7.503799071485094,0.75,0,533.9132830795921,1
0.7862807609052678,2226.1466321593384,6.9999999994207265,-12.24602068642939,19.25,0.75,7.7539793135706105,0.75,0,533.9156584098287,1
0.822020795491871,2226.1466321593384,6.999999999420705,-11.995840444343873,19.25,0.75,8.004159555656127,0.75,0,533.9179663176366,1
0.8577608300784743,2231.1143428694845,6.999999999420677,-11.745660202258355,19.25,0.75,8.254339797741645,0.75,0,533.9202069550549,1
0.8935008646650775,2231.1143428694845,6.999999999420677,-11.495479960172837,19.25,0.75,8.504520039827163,0.75,0,533.9223804750308,1
0.9292408992516807,2227.341381268083,6.999999999420677,-11.24529971808732,19.25,0.75,8.75470028191268,0.75,0,533.9244870314816,1
0.964980933838284,2227.341381268083,6.999999999420677,-10.995119476001804,19.25,0.75,9.004880523998196,0.75,0,533.9265267792541,1
1.0007209684248872,2244.3937684065336,6.999999999420733,-10.744939233916288,19.25,0.75,9.255060766083712,0.75,0,533.9284998741198,1
1.0364610030114905,2244.3937684065336,6.999999999420677,-10.494758991830771,19.25,0.75,9.505241008169229,0.75,0,533.9304064728024,1
1.0722010375980937,2249.492540336748,6.999999999420677,-10.244578749745255,19.25,0.75,9.755421250254745,0.75,0,533.9322467329196,1
1.107941072184697,2249.492540336748,6.999999999420677,-9.99439850765974,19.25,0.75,10.00560149234026,0.75,0,533.9340208130504,1
1.1436811067713002,2216.888008512475,6.999999999420677,-9.744218265574224,19.25,0.75,10.255781734425776,0.75,0,533.9357288726885,1
1.1794211413579034,2216.888008512475,6.999999999420677,-9.494038023488708,19.25,0.75,10.505961976511292,0.75,0,533.9373710722621,1
1.2151611759445067,2240.9684506785284,6.9999999994207265,-9.24385778140319,19.25,0.75,10.75614221859681,0.75,0,533.9389475730911,1
1.25090121053111,2240.9684506785284,6.999999999420683,-8.993677539317675,19.25,0.75,11.006322460682325,0.75,0,533.9404585374389,1
1.2866412451177132,2242.244232680972,6.999999999420677,-8.743497297232157,19.25,0.75,11.256502702767843,0.75,0,533.9419041284837,1
1.3223812797043164,2242.244232680972,6.999999999420677,-8.493317055146639,19.25,0.75,11.506682944853361,0.75,0,533.9432845103161,1
1.3581213142909196,2269.4921507503113,6.9999999994207265,-8.243136813061122,19.25,0.75,11.756863186938878,0.75,0,533.9445998479504,1
1.3938613488775229,2269.4921507503113,6.999999999420677,-7.992956570975606,19.25,0.75,12.007043429024394,0.75,0,533.9458503072788,1
1.4296013834641261,2242.8030396984473,6.999999999420677,-7.7427763288900895,19.25,0.75,12.25722367110991,0.75,0,533.9470360551376,1
